client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017714.wav	— Ти-с розпитав, як дотуду їхати?	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017716.wav	В поході брали участь князі Андрій і Олександр, так званий Невський	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017717.wav	— Чого ради?	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017732.wav	— А «петрос» по-грецькому є камінь. А вітця твого?	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017755.wav	Годечан узяв піхво й поволі засилив меч назад.	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017768.wav	— Розумний єси кітці хвоста зав'язати.	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017770.wav	— Ходь ближчій, — махнув до нього маленький старчик у довгій непідперезаній сорочці.	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017771.wav	— Жону? — перепитав Орест, але Гатило повторювати не любив.	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017773.wav	— Зайдь, княже, до господи.	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017774.wav	— Я єсмь, Великий княже.	2	0				uk	
0a4032ea3d0e09909fbea6e4ba0a4d20a087693c67bb47c35975623c9e3de569f9a0608cb4f1dfb3c9bea64e61fcd1d17825e24e7915c9decae76f9844db9e54	common_voice_uk_24017777.wav	— То ти скіф єси?	2	0				uk	
